epoch,accuracy,loss
0,0.613387405872345,1.2966506481170654
1,0.7430346012115479,0.8440907597541809
2,0.7836625576019287,0.6934292912483215
3,0.8144569993019104,0.6002403497695923
4,0.8392133116722107,0.5200604200363159
5,0.8557750582695007,0.45917752385139465
6,0.868886411190033,0.4117150902748108
7,0.8815664649009705,0.37359678745269775
8,0.8939014673233032,0.33612120151519775
9,0.9011472463607788,0.3128131031990051
10,0.9050288796424866,0.2958933115005493
11,0.9127922058105469,0.2746152877807617
12,0.9160700440406799,0.26251503825187683
13,0.922625720500946,0.24143429100513458
14,0.9287500977516174,0.22480005025863647
