epoch,accuracy,loss
0,0.5713793039321899,1.4244768619537354
1,0.7009402513504028,0.9683659672737122
2,0.744587242603302,0.8222311735153198
3,0.7702061533927917,0.732597827911377
4,0.7890968918800354,0.6824245452880859
5,0.8116967082023621,0.5935544371604919
6,0.8283447027206421,0.547521710395813
7,0.8332614302635193,0.5184497237205505
8,0.8431812524795532,0.48785850405693054
9,0.8539636135101318,0.45984014868736267
10,0.8619856834411621,0.4286687672138214
11,0.8680238127708435,0.40727517008781433
12,0.8740619421005249,0.38719552755355835
13,0.8785473704338074,0.375139445066452
14,0.8898473381996155,0.340404212474823
15,0.889157235622406,0.33739736676216125
16,0.8999395966529846,0.30850693583488464
17,0.8989907503128052,0.3161846101284027
18,0.9012334942817688,0.29988497495651245
19,0.911153256893158,0.2837026119232178
