epoch,accuracy,loss
0,0.6093332171440125,1.3090643882751465
1,0.744414746761322,0.8334157466888428
2,0.7925472259521484,0.6683894991874695
3,0.8129906058311462,0.5976871848106384
4,0.8377469182014465,0.5260253548622131
5,0.8535323143005371,0.4625857174396515
6,0.8736306428909302,0.40360474586486816
7,0.880445122718811,0.3828277885913849
8,0.8915724754333496,0.33442285656929016
9,0.9009747505187988,0.31510424613952637
10,0.9008884429931641,0.3177555203437805
11,0.9164150953292847,0.2675027847290039
12,0.9206417798995972,0.244749516248703
13,0.9215906262397766,0.25221163034439087
14,0.9282325506210327,0.22855541110038757
