epoch,accuracy,loss
0,0.5713669657707214,1.4653245210647583
1,0.6836567521095276,1.0470645427703857
2,0.7315222024917603,0.9101911783218384
3,0.7644674181938171,0.7765935063362122
4,0.7749029994010925,0.7417153716087341
5,0.8007761836051941,0.6527012586593628
6,0.8191461563110352,0.5999517440795898
7,0.8175938129425049,0.5993830561637878
8,0.8324277997016907,0.5515475273132324
9,0.8431220650672913,0.5081608295440674
10,0.8475204706192017,0.49317631125450134
11,0.8555411696434021,0.45780420303344727
12,0.8693402409553528,0.42214325070381165
13,0.8697714805603027,0.42690780758857727
14,0.8810694217681885,0.390030175447464
15,0.8794307708740234,0.387114018201828
16,0.8811556696891785,0.3813791573047638
17,0.8881414532661438,0.36808037757873535
18,0.8927986025810242,0.35496076941490173
19,0.8986632227897644,0.33912160992622375
