epoch,accuracy,loss
0,0.5657610893249512,1.448263168334961
1,0.7000431418418884,0.9730612635612488
2,0.7433376312255859,0.8268916606903076
3,0.7713669538497925,0.7378009557723999
4,0.7894782423973083,0.6637656688690186
5,0.8049159049987793,0.6186690926551819
6,0.8211297988891602,0.5559366345405579
7,0.8321690559387207,0.5179458260536194
8,0.8496766090393066,0.46601182222366333
9,0.852867603302002,0.4567148685455322
10,0.8632168769836426,0.4323548674583435
11,0.8725312352180481,0.39885687828063965
12,0.8746011257171631,0.39024817943573
13,0.8784821033477783,0.3714964687824249
14,0.8840017318725586,0.36509907245635986
15,0.892453670501709,0.3288050889968872
16,0.8965933322906494,0.32270345091819763
17,0.9011642932891846,0.3059394061565399
18,0.9057352542877197,0.30012384057044983
19,0.9056490063667297,0.2911470830440521
